Feature	MeanAbsSHAP	model
ECFP_454	0.006332045	XGB
ECFP_65	0.0063314413527534	LogReg
ECFP_575	0.0063053495	XGB
ECFP_564	0.0063008415152359	LogReg
ECFP_433	0.006297844	XGB
ECFP_152	0.006281838	XGB
ECFP_587	0.0062708928246134	LogReg
ECFP_274	0.0062556601629777	LogReg
ECFP_994	0.0062281269143937	LogReg
ECFP_550	0.0062216195552149	LogReg
ECFP_233	0.0062179820623725	LogReg
ECFP_479	0.0062152115558186	LogReg
ECFP_5	0.00619471	XGB
ECFP_236	0.0061925712759809	LogReg
ECFP_364	0.0061712012791682	LogReg
ECFP_474	0.00610899	XGB
ECFP_412	0.0061034575904786	LogReg
ECFP_204	0.0061019700622141	LogReg
ECFP_378	0.0060889897282805	RF
ECFP_384	0.0060817124330642	LogReg
ECFP_1	0.0060812422636054	RF
ECFP_975	0.0060510963110619	LogReg
ECFP_397	0.0060500892128947	LogReg
ECFP_385	0.0060500135573592	LogReg
ECFP_461	0.0060478362947368	LogReg
ECFP_141	0.006038906	XGB
ECFP_192	0.0060388604	XGB
ECFP_580	0.0060365847788348	LogReg
ECFP_1004	0.0060155457	XGB
ECFP_84	0.0060097588587201	LogReg
ECFP_511	0.006006838	XGB
ECFP_700	0.0059897823806567	LogReg
ECFP_763	0.0059707097828842	LogReg
ECFP_594	0.0059698394801225	LogReg
ECFP_919	0.0059523104589556	LogReg
ECFP_786	0.0059227516602922	LogReg
ECFP_13	0.005889084	XGB
ECFP_559	0.0058827669549701	LogReg
ECFP_740	0.0058678784450858	LogReg
ECFP_986	0.0058627734556612	LogReg
ECFP_545	0.0058575613721409	LogReg
ECFP_619	0.0058566307544138	LogReg
ECFP_185	0.0058563540356564	LogReg
ECFP_874	0.0058258716147296	LogReg
ECFP_920	0.0058035291309195	LogReg
ECFP_859	0.0057754185598346	LogReg
ECFP_711	0.0057731030746774	LogReg
ECFP_304	0.0057597479565482	LogReg
ECFP_894	0.0057551865576717	LogReg
ECFP_749	0.0057478324615614	LogReg
ECFP_795	0.0057422646922633	LogReg
ECFP_624	0.0057374863339428	LogReg
