Feature	MeanAbsSHAP_RF
ECFP_468	0.00010425986262387778
ECFP_469	0.00012865144707800417
ECFP_470	0.0013864915773191414
ECFP_471	0.00042574214449991844
ECFP_472	9.796476702702622e-05
ECFP_473	0.0004259070588858834
ECFP_474	0.0008654711892999333
ECFP_475	0.00016447408496483967
ECFP_476	0.00019120062211069872
ECFP_477	2.9774818779477053e-05
ECFP_478	0.00028948552457289486
ECFP_479	0.00037256083781059886
ECFP_480	0.0005447713832475792
ECFP_481	0.0002273105831178488
ECFP_482	0.0010545261249857
ECFP_483	0.000174318239611216
ECFP_484	0.0011447153522608326
ECFP_485	0.0002476876266843685
ECFP_486	0.0030698510827538287
ECFP_487	0.00023835493811224343
ECFP_488	0.0003375131019203568
ECFP_489	0.0011307765560076436
ECFP_490	0.00029212464154963286
ECFP_491	0.0033599605072281444
ECFP_492	0.0003823731300616294
ECFP_493	0.0010389566328658476
ECFP_494	0.0008067859830952139
ECFP_495	0.00031520878998224025
ECFP_496	0.0001394739990728952
ECFP_497	0.00017742822522992521
ECFP_498	0.0002959032009713611
ECFP_499	0.00014202306338952664
ECFP_500	0.00045298843154260523
ECFP_501	0.00041375452009047287
ECFP_502	0.0011624073541975973
ECFP_503	0.0007099673865444876
ECFP_504	0.0004355669827818629
ECFP_505	0.00015562239184044912
ECFP_506	0.0003349245168580914
ECFP_507	0.0003771370133716919
ECFP_508	0.00011997245343099694
ECFP_509	0.0004980352566499668
ECFP_510	0.0001774363940077961
ECFP_511	0.00038202362372445874
ECFP_512	0.00027576656773840955
ECFP_513	0.00015458062678050467
ECFP_514	0.00012026257748133152
ECFP_515	0.00025040561781816917
ECFP_516	0.00015637068487253056
ECFP_517	0.00042228680639122844
ECFP_518	0.00010755994803755997
ECFP_519	0.00045431687949163004
ECFP_520	0.0005071581212195543
ECFP_521	0.0002497642395675823
ECFP_522	0.00024091578060424522
ECFP_523	0.00015267011285249082
ECFP_524	0.0002890789737921601
ECFP_525	0.000275764176248312
ECFP_526	0.002103672509977194
ECFP_527	9.816464240679224e-05
ECFP_528	0.00033331373700161925
ECFP_529	0.0003330560859536484
ECFP_530	0.00024113445527129736
ECFP_531	0.000377103964866913
ECFP_532	0.00029750237324951175
ECFP_533	0.001122391804129369
ECFP_534	0.00070786382907031
ECFP_535	0.000560077546915185
ECFP_536	0.0001910714609315451
ECFP_537	0.0002675448847433714
ECFP_538	0.00014696497580674007
ECFP_539	0.0002550287368777159
ECFP_540	0.002253888714983602
ECFP_541	0.0007139062317473759
