Feature	MeanAbsSHAP_LogReg
ECFP_299	0.003094847453969975
ECFP_300	0.002652457221748959
ECFP_301	0.012512215463268483
ECFP_302	0.007904887889751425
ECFP_303	0.0008845858434254249
ECFP_304	0.005759777612809252
ECFP_305	0.0019271816545225677
ECFP_306	0.0015485203194665347
ECFP_307	0.007690519145058461
ECFP_308	0.005189796782462981
ECFP_309	0.003986508917446339
ECFP_310	0.006591545681331412
ECFP_311	0.015829805452657622
ECFP_312	0.002997001726937723
ECFP_313	0.0016476919356511592
ECFP_314	0.08846083688954583
ECFP_315	0.002800712862836274
ECFP_316	0.004540397764211348
ECFP_317	0.002728234176226376
ECFP_318	0.00691686692598457
ECFP_319	0.0027558201347911665
ECFP_320	0.0035846376878920032
ECFP_321	0.0022838207382632945
ECFP_322	0.011511406232290095
ECFP_323	0.0018903593175214294
ECFP_324	0.007187007081177442
ECFP_325	0.033955694782801235
ECFP_326	0.0015882202033293009
ECFP_327	0.005438539887660842
ECFP_328	0.0016623702317725467
ECFP_329	0.002046694378610432
ECFP_330	0.0015135617414867009
ECFP_331	0.0017067252388627678
ECFP_332	0.001913948187495402
ECFP_333	0.025768427823116103
ECFP_334	0.0023522019338389584
ECFP_335	0.0018234233978565155
ECFP_336	0.011605249730807721
ECFP_337	0.0006387393920827728
ECFP_338	0.0029108002578942206
ECFP_339	0.002884952972319805
ECFP_340	0.0016883957563410264
ECFP_341	0.047816114863522566
ECFP_342	0.01304768842749109
ECFP_343	0.015204839544164694
ECFP_344	0.0008537629395086434
ECFP_345	0.01003290466365392
ECFP_346	0.002936004111079916
ECFP_347	0.0006626247327540652
ECFP_348	0.004364541628013299
ECFP_349	0.007153420921095268
ECFP_350	0.013034570711036534
ECFP_351	0.0027834663299857966
ECFP_352	0.007614711863448418
ECFP_353	0.0021119326143966637
ECFP_354	0.009177251003027456
ECFP_355	0.013486304052475102
ECFP_356	0.08057145381444959
ECFP_357	0.009405040743464863
ECFP_358	0.0011452786806963424
ECFP_359	0.005494426918726189
ECFP_360	0.00981104618941431
ECFP_361	0.024082130987086888
ECFP_362	0.023238791082787653
ECFP_363	0.0027082624956831615
ECFP_364	0.006171162615536548
ECFP_365	0.0072041854419962375
ECFP_366	0.003971436053749852
ECFP_367	0.03791802601094966
ECFP_368	0.0040711234787689605
ECFP_369	0.0025907658079977326
ECFP_370	0.0033419021925879576
