Feature	MeanAbsSHAP_XGB
ECFP_417	0.00040157855
ECFP_418	0.0
ECFP_419	0.0151910605
ECFP_420	0.001059953
ECFP_421	0.0014568673
ECFP_422	0.0021651676
ECFP_423	0.0026955823
ECFP_424	0.0
ECFP_425	0.0005032545
ECFP_426	0.0
ECFP_427	0.0
ECFP_428	0.021933366
ECFP_429	0.0026365547
ECFP_430	0.0
ECFP_431	0.0
ECFP_432	0.0014498526
ECFP_433	0.01022723
ECFP_434	0.0
ECFP_435	0.00059379975
ECFP_436	0.0008468272
ECFP_437	0.0
ECFP_438	0.0
ECFP_439	0.0
ECFP_440	0.0
ECFP_441	0.0021541254
ECFP_442	0.0
ECFP_443	0.0
ECFP_444	0.0007542958
ECFP_445	0.0018421344
ECFP_446	0.0009080991
ECFP_447	0.0
ECFP_448	0.0011564197
ECFP_449	0.0
ECFP_450	0.0
ECFP_451	0.015743388
ECFP_452	0.02599456
ECFP_453	0.018487046
ECFP_454	0.0034658487
ECFP_455	0.00053891574
ECFP_456	0.0434547
ECFP_457	0.0
ECFP_458	0.017704185
ECFP_459	0.0
ECFP_460	0.0008909275
ECFP_461	0.005274485
ECFP_462	0.0
ECFP_463	0.010989916
ECFP_464	0.037692
ECFP_465	0.003157142
ECFP_466	0.0008973329
ECFP_467	0.0
ECFP_468	0.0
ECFP_469	0.0
ECFP_470	0.058694314
ECFP_471	0.0
ECFP_472	0.0
ECFP_473	0.00011237782
ECFP_474	0.0053834906
ECFP_475	0.0
ECFP_476	0.0
ECFP_477	0.0
ECFP_478	0.0
ECFP_479	0.004179014
ECFP_480	0.001008839
ECFP_481	0.00049289165
ECFP_482	0.0026219212
ECFP_483	0.00048223868
ECFP_484	0.025965681
ECFP_485	0.00028847362
ECFP_486	0.16324562
ECFP_487	0.0
ECFP_488	0.0030157103
ECFP_489	0.010557404
ECFP_490	0.00021011828
ECFP_491	0.07748406
ECFP_492	0.00954517
ECFP_493	0.004754235
ECFP_494	0.013421884
ECFP_495	0.00086724275
ECFP_496	0.0
ECFP_497	0.0
ECFP_498	0.0024874692
ECFP_499	0.0
ECFP_500	0.0014262357
ECFP_501	0.0020644208
ECFP_502	0.0131330965
ECFP_503	0.018074496
ECFP_504	0.009167981
ECFP_505	0.0
ECFP_506	0.0015017784
ECFP_507	0.0016008479
ECFP_508	0.0
ECFP_509	0.00031942013
ECFP_510	0.0
ECFP_511	0.0069556893
ECFP_512	0.0022216947
ECFP_513	0.0
ECFP_514	0.0
ECFP_515	0.0010069687
ECFP_516	0.0
ECFP_517	0.0
ECFP_518	0.0
ECFP_519	0.01316647
ECFP_520	0.0
ECFP_521	0.0
ECFP_522	0.0
ECFP_523	0.0
ECFP_524	0.0016919948
ECFP_525	0.0
ECFP_526	0.054015197
ECFP_527	0.0
ECFP_528	0.0015969068
ECFP_529	0.0031572548
ECFP_530	0.00064905925
ECFP_531	0.0005076751
ECFP_532	0.0
ECFP_533	0.008186162
ECFP_534	0.002786925
ECFP_535	0.0011528955
ECFP_536	0.0
ECFP_537	0.00045890966
ECFP_538	0.0
ECFP_539	0.0
ECFP_540	0.08860026
ECFP_541	0.0018660553
ECFP_542	0.00047182658
ECFP_543	0.0028603715
ECFP_544	0.0
ECFP_545	0.0035531695
ECFP_546	0.0053682807
ECFP_547	0.0036129088
ECFP_548	0.0014601237
ECFP_549	0.06931968
